227e7e3f_227e7e3f USB_FS_device STM32G4A1xx
354ebe79_55ff4bad USB STM32F0x2
354ebe79_55ff4bad USB STM32L4x2
354ebe79_55ff4bad USB STM32L4x2
4d263233_4d263233 USB STM32G431xx
4d263233_4d263233 USB STM32G441xx
4d263233_4d263233 USB STM32G471xx
4d263233_4d263233 USB STM32G473xx
4d263233_4d263233 USB STM32G474xx
4d263233_4d263233 USB STM32G483xx
4d263233_4d263233 USB STM32G484xx
4d263233_4d263233 USB STM32G491xx
4dadc72d_94652313 USB STM32L0x2
4dadc72d_94652313 USB STM32L0x3
5c67c95e_5c67c95e USB_SRAM STM32L4x1
5e0207aa_5e0207aa USB STM32L4x3
7b43f6dd_01d3b1b0 USB STM32F101
7b43f6dd_01d3b1b0 USB STM32F102
7b43f6dd_01d3b1b0 USB STM32F107
7b43f6dd_01d3b1b0 USB STM32L100
7b43f6dd_01d3b1b0 USB STM32L151
7b43f6dd_01d3b1b0 USB STM32L162
8a0fc68d_5c67c95e USB STM32F0x0
8a0fc68d_5c67c95e USB STM32F0x1
8a0fc68d_5c67c95e USB STM32F0x8
929dd3e9_82d1c37d USB STM32F103
947e8d2f_947e8d2f USB STM32L4x5
b2c0d649_fee18144 USB STM32F301
b2c0d649_fee18144 USB STM32F373
dd359715_dd359715 USB STM32L552
dd359715_dd359715 USB STM32L562
e7a01616_e5b12fd7 USB STM32G0B1
e7a01616_e5b12fd7 USB STM32G0C1
e7f583d8_e7f583d8 USB STM32WB55
